#Site           Distance_km  Cores  ThermalPower_GW  Flux_cm2_s  Signal_per_yr
Kashiwazaki       160.0       7        24.6        4.25e5        348.1
Ohi               179.5       4        13.7        1.88e5        154.0
Takahama          190.6       4        10.2        1.24e5        101.8
Hamaoka           214.0       4        10.6        1.03e5         84.1
Tsuruga           138.6       2         4.5        1.03e5         84.7
Shiga              80.6       1         1.6        1.08e5         88.8
Mihama            145.4       3         4.9        1.03e5         84.5
Fukushima-1       344.0       6        14.2        5.3e4          43.5
Fukushima-2       344.0       4        13.2        4.9e4          40.3
Tokai-II          294.6       1         3.3        1.7e4          13.7
Shimane           414.0       2         3.8        9.9e3           8.1
Onagawa           430.2       2         4.8        9.8e3           8.1
Ikata             561.2       3         6.0        8.4e3           6.9
Genkai            755.4       4         6.7        5.3e3           4.3
Sendai            824.1       2         3.3        3.5e3           2.8
Tomari            783.5       2         5.3        2.4e3           2.0
Ulchin            750.0       4        11.2        8.8e3           7.2
Wolsong           690.0       4         8.1        7.5e3           5.2
Yonggwang         940.0       6        16.8        8.4e3           6.9
Kori              700.0       4         8.9        8.0e3           6.6

